28.Kisite date	28.Kisite.Kisite corner	28.IN_Kisite	105.Mombasa date	105.Kenya fringing.Coral Gardens 1	105.IN_Mombasa lagoon	35.Mombasa date	35.Kenya fringing.Mombasa 2	35.IN_Mombasa lagoon	33. Mombasa date	33.Kenya fringing.Coral gardens monitoring	33.IN_Mombasa lagoon	34.Mombasa Mushroom date	34.Kenya fringing.Mushroom	34.IN_Mombasa Mushroom	39. Mradi date	39.Kenya fringing.Mradi tengefu	39.IN_Mradi	41.Kuruwitu date	41.Kenya fringing.Kiruwitu Community Closure	41.IN_Vipingo	42.Watamu date	42.Kenya fringing.Watamu South	42.IN_Watamu	86.Bongoyo date	86.Tanzania islands.Bongoyo Site 1	86.IN_Bongoyo	87.Changuu	87.Tanzania islands.Changuu 1	87.IN_Changuu	90.Chumbe date	90.Tanzania islands.Chumbe South	90.IN_Chumbe	100.99. Mbudya date	100.Tanzania islands.Mbudya Site 1	99.Tanzania islands.Mbudya Edge 2	100.99.IN_Mbudya	144.Plach Alinz 	144.Reunion.Planch'Aliz	IN_Planch Alinz	221.Lakshadweeps.Potato_Patch_shallow_Date	221.Lakshadweeps.Potato_Patch_shallow	IN_Potato_Patch	208.Lakshadweeps.Japanese_Garden_shallow_Date	208.Lakshadweeps.Japanese_Garden_shallow	IN_Japanese_Garden	Kisite_corner	Mombasa_coral_gardens_1	Mombasa_2	Mombasa_coral_gardens_2 	Mushroom	Mradi	Kuruwitu	Watamu	Bongoyo	Changuu	Chumbe	Mbudya_1	Mbudya_2	Planch_Aliz	Potato_Patch	Japanese Garden	Days_Index
19/01/2016	27.88999938	28.137625	12/02/2016	27.34999939	27.722125	11/01/2016	27.87999938	28.379	06/01/2016	27.82999938	28.479	11/01/2016	27.88999938	27.85575	07/01/2016	27.92999938	28.659	03/01/2016	28.14999937	28.7785	14/01/2016	27.77999938	28.75275	04/02/2016	28.09999937	28.64225	16/01/2016	28.73999936	29.05275	31/01/2016	28.53999936	28.41166667	02/02/2016	28.41999936		28.605	14/12/2015	27.89999938	28.51316667	06/02/2015	28.7000	29.1981	01/12/2014	28.39999937		0.24762562	0.37212561	0.49900062	0.64900062	-0.03424938	0.72900062	0.62850063	0.97275062	0.54225063	0.31275064	-0.12833269	0.18500064		0.61316729	0.4981		-90
20/01/2016	27.76999938	28.04475	13/02/2016	27.33999939	27.7835	12/01/2016	28.10999937	28.578125	07/01/2016	27.79999938	28.736125	12/01/2016	28.11999937	28.066625	08/01/2016	28.29999937	28.472	04/01/2016	28.03999937	28.565125	15/01/2016	27.94999938	28.395375	05/02/2016	28.25999937	28.723125	17/01/2016	28.74999936	28.9935	01/02/2016	28.51999936	28.29833333	03/02/2016	28.29999937		28.676625	15/12/2015	28.02999937	28.67354167	07/02/2015	28.7500	29.0610	02/12/2014	29.05999935		0.27475062	0.44350061	0.46812563	0.93612562	-0.05337437	0.17200063	0.52512563	0.44537562	0.46312563	0.24350064	-0.22166603	0.37662563		0.6435423	0.3110		-89
21/01/2016	27.72999938	27.791625	14/02/2016	27.39999939	27.931625	13/01/2016	28.08999937	28.836375	08/01/2016	28.10999937	28.30775	13/01/2016	28.08999937	27.9175	09/01/2016	28.27999937	28.341875	05/01/2016	28.18999937	28.4115	16/01/2016	27.68999938	28.3365	06/02/2016	28.26999937	28.772875	18/01/2016	28.79999936	28.9095	02/02/2016	28.21999937	28.30541667	04/02/2016	28.12999937		28.726375	16/12/2015	28.15999937	28.57191667	08/02/2015	29.0600	29.0568	03/12/2014	28.90999935		0.06162562	0.53162561	0.74637563	0.19775063	-0.17249937	0.06187563	0.22150063	0.64650062	0.50287563	0.10950064	0.0854173	0.59637563		0.4119173	-0.0032		-88
22/01/2016	27.75999938	27.7885	15/02/2016	27.38999939	27.9245	14/01/2016	28.19999937	28.778	09/01/2016	27.85999938	28.435	14/01/2016	28.19999937	27.89879167	10/01/2016	28.25999937	28.24875	06/01/2016	28.07999937	28.481625	17/01/2016	27.66999938	28.1105	07/02/2016	28.28999937	28.7695	19/01/2016	28.42999936	28.797625	03/02/2016	28.15999937	28.15666667	05/02/2016	28.27999937	28.25999937	28.664	17/12/2015	28.65999936	29.03745833	09/02/2015	28.1000	29.0816	04/12/2014	29.13999935		0.02850062	0.53450061	0.57800063	0.57500062	-0.3012077	-0.01124937	0.40162563	0.44050062	0.47950063	0.36762564	-0.0033327	0.38400063	0.40400063	0.37745897	0.9816		-87
23/01/2016	27.89999938	27.5795	16/02/2016	27.32999939	27.919	15/01/2016	28.25999937	28.588375	10/01/2016	27.84999938	28.394375	15/01/2016	28.26999937	27.72816667	11/01/2016	27.85999938	28.35125	07/01/2016	27.95999938	28.600375	18/01/2016	27.17999939	28.03575	08/02/2016	28.11999937	28.3075	20/01/2016	28.12999937	28.744625	04/02/2016	27.94999938	28.100625	06/02/2016	28.27999937	28.26999937	28.769625	18/12/2015	28.77999936	29.896	10/02/2015	29.0000	29.0235	05/12/2014	29.25999935		-0.32049938	0.58900061	0.32837563	0.54437562	-0.5418327	0.49125062	0.64037562	0.85575061	0.18750063	0.61462563	0.15062562	0.48962563	0.49962563	1.11600064	0.0235		-86
24/01/2016	28.00999937	27.742375	17/02/2016	27.14999939	27.82	16/01/2016	28.13999937	28.358125	11/01/2016	27.63999938	28.379	16/01/2016	28.14999937	27.732625	12/01/2016	28.08999937	28.672875	08/01/2016	28.28999937	28.52675	19/01/2016	27.33999939	27.8225	09/02/2016	28.25999937	27.757875	21/01/2016	28.00999937	28.59875	05/02/2016	28.09999937	28.10708333	07/02/2016	28.30999937	28.28999937	28.6145	19/12/2015	28.92999935	28.94691667	11/02/2015	28.6700	29.0070	06/12/2014	29.18999935		-0.26762437	0.67000061	0.21812563	0.73900062	-0.41737437	0.58287563	0.23675063	0.48250061	-0.50212437	0.58875063	0.00708396	0.30450063	0.32450063	0.01691732	0.3370		-85
25/01/2016	27.91999938	27.896625	18/02/2016	27.24999939	27.980875	17/01/2016	27.93999938	28.276625	12/01/2016	27.82999938	28.578125	17/01/2016	27.94999938	27.93908333	13/01/2016	28.07999937	28.904125	09/01/2016	28.20999937	28.217125	20/01/2016	27.28999939	27.53925	10/02/2016	28.16999937	27.819625	22/01/2016	28.28999937	28.533625	06/02/2016	28.05999937	28.09291667	08/02/2016	28.14999937	28.11999937	28.171625	20/12/2015	28.89999935	29.337875	12/02/2015	28.6700	29.0984	07/12/2014	29.05999935		-0.02337438	0.73087561	0.33662562	0.74812562	-0.01091605	0.82412563	0.00712563	0.24925061	-0.35037437	0.24362563	0.0329173	0.02162563	0.05162563	0.43787565	0.4284		-84
26/01/2016	28.04999937	28.04775	19/02/2016	27.08999939	27.835	18/01/2016	27.39999939	28.30825	13/01/2016	27.89999938	28.836375	18/01/2016	27.40999939	27.884125	14/01/2016	28.14999937	28.708875	10/01/2016	28.19999937	28.014625	21/01/2016	27.22999939	27.271875	11/02/2016	28.34999937	28.257875	23/01/2016	28.50999936	28.55525	07/02/2016	28.11999937	27.95895833	09/02/2016	28.29999937	28.25999937	27.708625	21/12/2015	28.80999936	29.09683333	13/02/2015	28.8500	29.0775	08/12/2014	29.09999935		-0.00224937	0.74500061	0.90825061	0.93637562	0.47412561	0.55887563	-0.18537437	0.04187561	-0.09212437	0.04525064	-0.16104104	-0.59137437	-0.55137437	0.28683397	0.2275		-83
27/01/2016	27.95999938	27.924375	20/02/2016	27.27999939	27.8475	19/01/2016	27.54999938	27.98075	14/01/2016	28.13999937	28.778	19/01/2016	27.56999938	27.168875	15/01/2016	28.24999937	28.655875	11/01/2016	27.80999938	28.111875	22/01/2016	27.0499994	26.9285	12/02/2016	28.34999937	28.360125	24/01/2016	28.67999936	28.570875	08/02/2016	27.77999938	28.024375	10/02/2016	28.19999937	28.16999937	27.681	22/12/2015	28.90999935	29.47775	14/02/2015	28.2200	29.0321	09/12/2014	29.11999935		-0.03562438	0.56750061	0.43075062	0.63800063	-0.40112438	0.40587563	0.30187562	-0.1214994	0.01012563	-0.10912436	0.24437562	-0.51899937	-0.48899937	0.56775065	0.8121		-82
28/01/2016	27.86999938	27.850125	21/02/2016	27.46999939	27.94925	20/01/2016	27.46999939	27.560625	15/01/2016	28.26999937	28.588375	20/01/2016	27.48999939	27.12833333	16/01/2016	28.08999937	28.468375	12/01/2016	28.02999937	28.928125	23/01/2016	26.8299994	27.0695	13/02/2016	28.57999936	28.44375	25/01/2016	28.46999936	28.72925	09/02/2016	28.01999937	27.92333333	11/02/2016	28.35999937	28.34999937	28.097125	23/12/2015	28.72999936	29.41270833	15/02/2015	28.3600	28.9947	10/12/2014	29.00999935		-0.01987438	0.47925061	0.09062561	0.31837563	-0.36166606	0.37837563	0.89812563	0.2395006	-0.13624936	0.25925064	-0.09666604	-0.26287437	-0.25287437	0.68270897	0.6347		-81
29/01/2016	28.01999937	27.91525	22/02/2016	27.54999938	27.68675	21/01/2016	27.49999939	27.1855	16/01/2016	27.92999938	28.358125	21/01/2016	27.51999938	26.89541667	17/01/2016	27.89999938	28.252875	13/01/2016	28.05999937	29.023625	24/01/2016	26.6699994	27.0265	14/02/2016	28.45999936	28.663875	26/01/2016	28.36999937	28.8535	10/02/2016	27.95999938	27.98916667	12/02/2016	28.35999937	28.34999937	28.20875	24/12/2015	28.88999935	29.01570833	16/02/2015	28.1400	28.9158	11/12/2014	28.63999936		-0.10474937	0.13675062	-0.31449939	0.42812562	-0.62458271	0.35287562	0.96362563	0.3565006	0.20387564	0.48350063	0.02916729	-0.15124937	-0.14124937	0.12570898	0.7758		-80
30/01/2016	27.60999938	28.0325	23/02/2016	27.69999938	27.825875	22/01/2016	27.36999939	27.333625	17/01/2016	27.85999938	28.276625	22/01/2016	27.39999939	26.86570833	18/01/2016	27.37999939	28.228375	14/01/2016	28.08999937	28.841375	25/01/2016	26.7899994	26.94675	15/02/2016	28.50999936	28.741875	27/01/2016	28.55999936	28.987625	11/02/2016	28.11999937	27.80708333	13/02/2016	28.55999936	28.57999936	28.453	25/12/2015	28.36999937	28.94054167	17/02/2015	28.2500	28.9406	12/12/2014	28.68999936		0.42250062	0.12587562	-0.03637439	0.41662562	-0.53429106	0.84837561	0.75137563	0.1567506	0.23187564	0.42762564	-0.31291604	-0.10699936	-0.12699936	0.5705423	0.6906		-79
31/01/2016	27.64999938	27.967875	24/02/2016	27.90999938	28.03925	23/01/2016	27.22999939	27.440875	18/01/2016	27.37999939	28.30825	23/01/2016	27.24999939	26.66558333	19/01/2016	27.52999938	28.00225	15/01/2016	28.12999937	28.8005	26/01/2016	26.8599994	27.01525	16/02/2016	28.68999936	28.940875	28/01/2016	28.40999936	28.813125	12/02/2016	28.31999937	27.89854167	14/02/2016	28.46999936	28.45999936	28.617375	26/12/2015	28.12999937	28.71954167	18/02/2015	28.3900	28.9821	13/12/2014	29.01999935		0.31787562	0.12925062	0.21087561	0.92825061	-0.58441606	0.47225062	0.67050063	0.1552506	0.25087564	0.40312564	-0.4214577	0.14737564	0.15737564	0.5895423	0.5921		-78
01/02/2016	27.47999939	27.7055	25/02/2016	28.01999937	28.392125	24/01/2016	27.21999939	27.317875	19/01/2016	27.39999939	27.98075	24/01/2016	27.19999939	26.314875	20/01/2016	27.45999939	27.46875	16/01/2016	27.97999937	28.420375	27/01/2016	26.8999994	27.104	17/02/2016	28.95999935	29.327375	29/01/2016	28.41999936	28.60525	13/02/2016	28.39999937	27.98229167	15/02/2016	28.52999936	28.50999936	28.6705	27/12/2015	28.08999937	28.95054167	19/02/2015	28.4700	29.0360	14/12/2014	28.72999936		0.22550061	0.37212563	0.09787561	0.58075061	-0.88512439	0.00875061	0.44037563	0.2040006	0.36737565	0.18525064	-0.4177077	0.14050064	0.16050064	0.8605423	0.5660		-77
02/02/2016	27.26999939	27.659625	26/02/2016	28.13999937	28.736375	25/01/2016	27.47999939	27.0785	20/01/2016	27.26999939	27.560625	25/01/2016	27.50999939	26.65266667	21/01/2016	27.47999939	27.115125	17/01/2016	27.82999938	28.193125	28/01/2016	27.14999939	27.26625	18/02/2016	28.62999936	29.355625	30/01/2016	28.38999937	28.66725	14/02/2016	28.45999936	28.059375	16/02/2016	28.74999936	28.68999936	28.93525	28/12/2015	28.04999937	28.94920833	20/02/2015	28.9000	29.0862	15/12/2014	28.64999936		0.38962561	0.59637563	-0.40149939	0.29062561	-0.85733272	-0.36487439	0.36312562	0.11625061	0.72562564	0.27725063	-0.40062436	0.18525064	0.24525064	0.89920896	0.1862		-76
03/02/2016	27.27999939	27.422625	27/02/2016	28.22999937	28.938	26/01/2016	27.59999938	28.002125	21/01/2016	27.09999939	27.1855	26/01/2016	27.62999938	27.06633333	22/01/2016	27.27999939	27.16775	18/01/2016	27.36999939	28.07825	29/01/2016	27.09999939	27.62275	19/02/2016	28.47999936	29.227375	31/01/2016	28.37999937	28.626875	15/02/2016	28.39999937	28.101875	17/02/2016	29.03999935	28.95999935	29.09675	29/12/2015	28.16999937	29.29704167	21/02/2015	28.8100	29.0486	16/12/2014	29.01999935		0.14262561	0.70800063	0.40212562	0.08550061	-0.56366605	-0.11224939	0.70825061	0.52275061	0.74737564	0.24687563	-0.29812437	0.05675065	0.13675065	1.1270423	0.2386		-75
