Sat_Kisite,IN_Kisite,Sat_Mombasa_lagoon,IN_Mombasa_lagoon,Sat_Mombasa_Offshore,IN_Mombasa_Offshore,Sat_Mradi,IN_Mradi,Sat_Kuruwitu,IN_Kuruwitu,Sat_Watamu,IN_Watamu,Sat_Bongoyo,IN_Bongoyo,Sat_Changuu,IN_Changuu,Sat_Chumbe,IN_Chumbe,Sat_Mbudya,IN_Mbudya,Sat_Planch_Alinz,IN_Planch_Alinz,Sat_Potato_Patch,IN_Potato_Patch,Sat_Japanese_Garden,IN_Japanese_Garden,Kisite,Mombasa_lagoon,Mombasa_Offshore,Mradi,Kuruwitu,Watamu,Bongoyo,Changuu,Chumbe,Mbudya,Planch_Aliz,Potato_Patch,Japanese_Garden,Days_Index
27.88999938,28.137625,27.82999938,28.479,27.88999938,27.85575,27.92999938,28.659,28.14999937,28.7785,27.77999938,28.75275,28.09999937,28.64225,28.73999936,29.05275,28.53999936,28.41166667,28.41999936,28.605,27.89999938,28.51316667,28.7,29.1981,28.39999937,,0.24762562,0.64900062,-0.03424938,0.72900062,0.62850063,0.97275062,0.54225063,0.31275064,-0.12833269,0.18500064,0.61316729,0.4981,,-90
27.76999938,28.04475,27.79999938,28.736125,28.11999937,28.066625,28.29999937,28.472,28.03999937,28.565125,27.94999938,28.395375,28.25999937,28.723125,28.74999936,28.9935,28.51999936,28.29833333,28.29999937,28.676625,28.02999937,28.67354167,28.75,29.061,29.05999935,,0.27475062,0.93612562,-0.05337437,0.17200063,0.52512563,0.44537562,0.46312563,0.24350064,-0.22166603,0.37662563,0.6435423,0.311,,-89
27.72999938,27.791625,28.10999937,28.30775,28.08999937,27.9175,28.27999937,28.341875,28.18999937,28.4115,27.68999938,28.3365,28.26999937,28.772875,28.79999936,28.9095,28.21999937,28.30541667,28.12999937,28.726375,28.15999937,28.57191667,29.06,29.0568,28.90999935,,0.06162562,0.19775063,-0.17249937,0.06187563,0.22150063,0.64650062,0.50287563,0.10950064,0.0854173,0.59637563,0.4119173,-0.0032,,-88
27.75999938,27.7885,27.85999938,28.435,28.19999937,27.89879167,28.25999937,28.24875,28.07999937,28.481625,27.66999938,28.1105,28.28999937,28.7695,28.42999936,28.797625,28.15999937,28.15666667,28.27999937,28.664,28.65999936,29.03745833,28.1,29.0816,29.13999935,,0.02850062,0.57500062,-0.3012077,-0.01124937,0.40162563,0.44050062,0.47950063,0.36762564,-0.0033327,0.38400063,0.37745897,0.9816,,-87
27.89999938,27.5795,27.84999938,28.394375,28.26999937,27.72816667,27.85999938,28.35125,27.95999938,28.600375,27.17999939,28.03575,28.11999937,28.3075,28.12999937,28.744625,27.94999938,28.100625,28.27999937,28.769625,28.77999936,29.896,29,29.0235,29.25999935,,-0.32049938,0.54437562,-0.5418327,0.49125062,0.64037562,0.85575061,0.18750063,0.61462563,0.15062562,0.48962563,1.11600064,0.0235,,-86
28.00999937,27.742375,27.63999938,28.379,28.14999937,27.732625,28.08999937,28.672875,28.28999937,28.52675,27.33999939,27.8225,28.25999937,27.757875,28.00999937,28.59875,28.09999937,28.10708333,28.30999937,28.6145,28.92999935,28.94691667,28.67,29.007,29.18999935,,-0.26762437,0.73900062,-0.41737437,0.58287563,0.23675063,0.48250061,-0.50212437,0.58875063,0.00708396,0.30450063,0.01691732,0.337,,-85
27.91999938,27.896625,27.82999938,28.578125,27.94999938,27.93908333,28.07999937,28.904125,28.20999937,28.217125,27.28999939,27.53925,28.16999937,27.819625,28.28999937,28.533625,28.05999937,28.09291667,28.14999937,28.171625,28.89999935,29.337875,28.67,29.0984,29.05999935,,-0.02337438,0.74812562,-0.01091605,0.82412563,0.00712563,0.24925061,-0.35037437,0.24362563,0.0329173,0.02162563,0.43787565,0.4284,,-84
28.04999937,28.04775,27.89999938,28.836375,27.40999939,27.884125,28.14999937,28.708875,28.19999937,28.014625,27.22999939,27.271875,28.34999937,28.257875,28.50999936,28.55525,28.11999937,27.95895833,28.29999937,27.708625,28.80999936,29.09683333,28.85,29.0775,29.09999935,,-0.00224937,0.93637562,0.47412561,0.55887563,-0.18537437,0.04187561,-0.09212437,0.04525064,-0.16104104,-0.59137437,0.28683397,0.2275,,-83
27.95999938,27.924375,28.13999937,28.778,27.56999938,27.168875,28.24999937,28.655875,27.80999938,28.111875,27.0499994,26.9285,28.34999937,28.360125,28.67999936,28.570875,27.77999938,28.024375,28.19999937,27.681,28.90999935,29.47775,28.22,29.0321,29.11999935,,-0.03562438,0.63800063,-0.40112438,0.40587563,0.30187562,-0.1214994,0.01012563,-0.10912436,0.24437562,-0.51899937,0.56775065,0.8121,,-82
27.86999938,27.850125,28.26999937,28.588375,27.48999939,27.12833333,28.08999937,28.468375,28.02999937,28.928125,26.8299994,27.0695,28.57999936,28.44375,28.46999936,28.72925,28.01999937,27.92333333,28.35999937,28.097125,28.72999936,29.41270833,28.36,28.9947,29.00999935,,-0.01987438,0.31837563,-0.36166606,0.37837563,0.89812563,0.2395006,-0.13624936,0.25925064,-0.09666604,-0.26287437,0.68270897,0.6347,,-81
