lon_bin,lon_freq,lon_cfreq,lon_%tot,Category,lat_bin,lat_freq,lat_cfreq,lat_%tot,Category_lat
39,0,0,0,Random,-22.8,0,0,0,Random
39.1,0,0,0,Random,-22.7,13,13,0.066154394,Random
39.2,25,25,0.127219989,Random,-22.6,18,31,0.157752786,Random
39.3,21,46,0.234084779,Random,-22.5,19,50,0.254439978,Random
39.4,29,75,0.381659966,Random,-22.4,23,73,0.371482367,Random
39.5,33,108,0.549590352,Random,-22.3,32,105,0.534323953,Random
39.6,45,153,0.778586331,Random,-22.2,26,131,0.666632741,Random
39.7,50,203,1.033026309,Random,-22.1,32,163,0.829474327,Random
39.8,44,247,1.256933489,Random,-22,31,194,0.987227113,Random
39.9,67,314,1.597883059,Random,-21.9,34,228,1.160246298,Random
40,20,334,1.69965905,Random,-21.8,40,268,1.36379828,Random
40.1,23,357,1.81670144,Random,-21.7,47,315,1.602971859,Random
40.2,34,391,1.989720625,Random,-21.6,49,364,1.852323037,Random
40.3,28,419,2.132207012,Random,-21.5,44,408,2.076230217,Random
40.4,24,443,2.254338202,Random,-21.4,57,465,2.366291792,Random
40.5,25,468,2.38155819,Random,-21.3,54,519,2.641086968,Random
40.6,49,517,2.630909368,Random,-21.2,52,571,2.905704544,Random
40.7,65,582,2.961681339,Random,-21.1,51,622,3.165233321,Random
40.8,70,652,3.317897308,Random,-21,59,681,3.465472495,Random
40.9,23,675,3.434939698,Random,-20.9,59,740,3.765711669,Random
41,12,687,3.496005292,Random,-20.8,55,795,4.045595644,Random
41.1,13,700,3.562159687,Random,-20.7,85,880,4.478143606,Random
41.2,13,713,3.628314081,Random,-20.6,47,927,4.717317185,Random
41.3,8,721,3.669024477,Random,-20.5,46,973,4.951401964,Random
41.4,10,731,3.719912473,Random,-20.4,43,1016,5.170220345,Random
41.5,15,746,3.796244466,Random,-20.3,39,1055,5.368683528,Random
41.6,10,756,3.847132461,Random,-20.2,33,1088,5.536613913,Random
41.7,36,792,4.030329245,Random,-20.1,42,1130,5.750343494,Random
41.8,17,809,4.116838838,Random,-20,40,1170,5.953895476,Random
41.9,14,823,4.188082031,Random,-19.9,29,1199,6.101470663,Random
42,12,835,4.249147626,Random,-19.8,41,1240,6.310111445,Random
42.1,11,846,4.305124421,Random,-19.7,29,1269,6.457686632,Random
42.2,13,859,4.371278815,Random,-19.6,24,1293,6.579817821,Random
42.3,14,873,4.442522009,Random,-19.5,31,1324,6.737570607,Random
42.4,19,892,4.539209201,Random,-19.4,34,1358,6.910589792,Random
42.5,16,908,4.620629993,Random,-19.3,34,1392,7.083608977,Random
42.6,37,945,4.808915577,Random,-19.2,35,1427,7.261716961,Random
42.7,24,969,4.931046766,Random,-19.1,46,1473,7.49580174,Random
42.8,24,993,5.053177955,Random,-19,46,1519,7.72988652,Random
42.9,14,1007,5.124421149,Random,-18.9,30,1549,7.882550506,Random
43,16,1023,5.205841942,Random,-18.8,27,1576,8.019948094,Random
43.1,11,1034,5.261818737,Random,-18.7,22,1598,8.131901684,Random
43.2,12,1046,5.322884332,Random,-18.6,19,1617,8.228588876,Random
43.3,29,1075,5.470459519,Random,-18.5,28,1645,8.371075263,Random
43.4,26,1101,5.602768307,Random,-18.4,47,1692,8.610248842,Random
43.5,27,1128,5.740165895,Random,-18.3,23,1715,8.727291232,Random
43.6,7,1135,5.775787492,Random,-18.2,33,1748,8.895221617,Random
43.7,10,1145,5.826675487,Random,-18.1,27,1775,9.032619205,Random
43.8,12,1157,5.887741082,Random,-18,28,1803,9.175105593,Random
43.9,14,1171,5.958984276,Random,-17.9,17,1820,9.261615185,Random
44,9,1180,6.004783472,Random,-17.8,24,1844,9.383746374,Random
