"","Days_Index","values","ind"
"1",-90,27.88999938,"Sat_Kisite"
"2",-89,27.76999938,"Sat_Kisite"
"3",-88,27.72999938,"Sat_Kisite"
"4",-87,27.75999938,"Sat_Kisite"
"5",-86,27.89999938,"Sat_Kisite"
"6",-85,28.00999937,"Sat_Kisite"
"7",-84,27.91999938,"Sat_Kisite"
"8",-83,28.04999937,"Sat_Kisite"
"9",-82,27.95999938,"Sat_Kisite"
"10",-81,27.86999938,"Sat_Kisite"
"11",-80,28.01999937,"Sat_Kisite"
"12",-79,27.60999938,"Sat_Kisite"
"13",-78,27.64999938,"Sat_Kisite"
"14",-77,27.47999939,"Sat_Kisite"
"15",-76,27.26999939,"Sat_Kisite"
"16",-75,27.27999939,"Sat_Kisite"
"17",-74,27.11999939,"Sat_Kisite"
"18",-73,26.9399994,"Sat_Kisite"
"19",-72,26.9799994,"Sat_Kisite"
"20",-71,26.9899994,"Sat_Kisite"
"21",-70,27.46999939,"Sat_Kisite"
"22",-69,27.43999939,"Sat_Kisite"
"23",-68,27.32999939,"Sat_Kisite"
"24",-67,27.52999938,"Sat_Kisite"
"25",-66,27.55999938,"Sat_Kisite"
"26",-65,27.50999939,"Sat_Kisite"
"27",-64,27.56999938,"Sat_Kisite"
"28",-63,27.42999939,"Sat_Kisite"
"29",-62,27.55999938,"Sat_Kisite"
"30",-61,27.69999938,"Sat_Kisite"
"31",-60,27.76999938,"Sat_Kisite"
"32",-59,27.72999938,"Sat_Kisite"
"33",-58,27.71999938,"Sat_Kisite"
"34",-57,28.00999937,"Sat_Kisite"
"35",-56,28.10999937,"Sat_Kisite"
"36",-55,28.20999937,"Sat_Kisite"
"37",-54,28.18999937,"Sat_Kisite"
"38",-53,28.00999937,"Sat_Kisite"
"39",-52,28.12999937,"Sat_Kisite"
"40",-51,28.19999937,"Sat_Kisite"
"41",-50,28.41999936,"Sat_Kisite"
"42",-49,28.63999936,"Sat_Kisite"
"43",-48,28.62999936,"Sat_Kisite"
"44",-47,28.74999936,"Sat_Kisite"
"45",-46,28.65999936,"Sat_Kisite"
"46",-45,28.63999936,"Sat_Kisite"
"47",-44,29.06999935,"Sat_Kisite"
"48",-43,28.98999935,"Sat_Kisite"
"49",-42,29.04999935,"Sat_Kisite"
"50",-41,29.11999935,"Sat_Kisite"
"51",-40,28.95999935,"Sat_Kisite"
"52",-39,29.14999935,"Sat_Kisite"
"53",-38,29.42999934,"Sat_Kisite"
"54",-37,29.58999934,"Sat_Kisite"
"55",-36,29.50999934,"Sat_Kisite"
"56",-35,29.37999934,"Sat_Kisite"
"57",-34,29.34999934,"Sat_Kisite"
"58",-33,29.49999934,"Sat_Kisite"
"59",-32,29.70999934,"Sat_Kisite"
"60",-31,29.96999933,"Sat_Kisite"
"61",-30,29.78999933,"Sat_Kisite"
"62",-29,29.69999934,"Sat_Kisite"
"63",-28,29.64999934,"Sat_Kisite"
"64",-27,29.84999933,"Sat_Kisite"
"65",-26,29.98999933,"Sat_Kisite"
"66",-25,30.11999933,"Sat_Kisite"
"67",-24,29.74999934,"Sat_Kisite"
"68",-23,29.38999934,"Sat_Kisite"
"69",-22,29.15999935,"Sat_Kisite"
"70",-21,29.27999935,"Sat_Kisite"
"71",-20,29.28999935,"Sat_Kisite"
"72",-19,29.25999935,"Sat_Kisite"
"73",-18,29.15999935,"Sat_Kisite"
"74",-17,29.42999934,"Sat_Kisite"
"75",-16,29.35999934,"Sat_Kisite"
"76",-15,29.81999933,"Sat_Kisite"
"77",-14,29.52999934,"Sat_Kisite"
"78",-13,29.83999933,"Sat_Kisite"
"79",-12,29.90999933,"Sat_Kisite"
"80",-11,30.19999932,"Sat_Kisite"
"81",-10,29.75999933,"Sat_Kisite"
"82",-9,29.63999934,"Sat_Kisite"
"83",-8,29.77999933,"Sat_Kisite"
"84",-7,29.54999934,"Sat_Kisite"
"85",-6,29.35999934,"Sat_Kisite"
"86",-5,29.60999934,"Sat_Kisite"
"87",-4,29.34999934,"Sat_Kisite"
"88",-3,29.01999935,"Sat_Kisite"
"89",-2,28.89999935,"Sat_Kisite"
"90",-1,29.39999934,"Sat_Kisite"
"91",0,29.13999935,"Sat_Kisite"
"92",-90,28.137625,"IN_Kisite"
"93",-89,28.04475,"IN_Kisite"
"94",-88,27.791625,"IN_Kisite"
"95",-87,27.7885,"IN_Kisite"
"96",-86,27.5795,"IN_Kisite"
"97",-85,27.742375,"IN_Kisite"
"98",-84,27.896625,"IN_Kisite"
"99",-83,28.04775,"IN_Kisite"
"100",-82,27.924375,"IN_Kisite"
"101",-81,27.850125,"IN_Kisite"
"102",-80,27.91525,"IN_Kisite"
"103",-79,28.0325,"IN_Kisite"
"104",-78,27.967875,"IN_Kisite"
"105",-77,27.7055,"IN_Kisite"
"106",-76,27.659625,"IN_Kisite"
"107",-75,27.422625,"IN_Kisite"
"108",-74,27.235,"IN_Kisite"
"109",-73,27.023375,"IN_Kisite"
"110",-72,26.818,"IN_Kisite"
"111",-71,27.014,"IN_Kisite"
"112",-70,27.17025,"IN_Kisite"
"113",-69,27.19775,"IN_Kisite"
"114",-68,27.37,"IN_Kisite"
"115",-67,27.38225,"IN_Kisite"
"116",-66,27.63775,"IN_Kisite"
"117",-65,27.659,"IN_Kisite"
"118",-64,27.542125,"IN_Kisite"
"119",-63,27.493,"IN_Kisite"
"120",-62,27.656625,"IN_Kisite"
"121",-61,27.720875,"IN_Kisite"
"122",-60,27.841,"IN_Kisite"
"123",-59,28.087875,"IN_Kisite"
"124",-58,27.961375,"IN_Kisite"
"125",-57,27.9925,"IN_Kisite"
"126",-56,27.755,"IN_Kisite"
"127",-55,27.92425,"IN_Kisite"
"128",-54,27.9335,"IN_Kisite"
"129",-53,28.137625,"IN_Kisite"
"130",-52,28.46875,"IN_Kisite"
"131",-51,28.52175,"IN_Kisite"
"132",-50,28.61475,"IN_Kisite"
"133",-49,28.751375,"IN_Kisite"
"134",-48,28.804,"IN_Kisite"
"135",-47,29.021625,"IN_Kisite"
"136",-46,29.31175,"IN_Kisite"
"137",-45,29.087,"IN_Kisite"
"138",-44,28.997,"IN_Kisite"
"139",-43,29.358625,"IN_Kisite"
"140",-42,29.599375,"IN_Kisite"
"141",-41,29.527,"IN_Kisite"
"142",-40,29.564625,"IN_Kisite"
"143",-39,29.71525,"IN_Kisite"
"144",-38,29.871875,"IN_Kisite"
"145",-37,30.11375,"IN_Kisite"
"146",-36,30.145,"IN_Kisite"
"147",-35,30.23975,"IN_Kisite"
"148",-34,30.198875,"IN_Kisite"
"149",-33,30.242625,"IN_Kisite"
"150",-32,30.30575,"IN_Kisite"
"151",-31,30.390625,"IN_Kisite"
"152",-30,30.47,"IN_Kisite"
"153",-29,30.5705,"IN_Kisite"
"154",-28,30.31225,"IN_Kisite"
"155",-27,29.938125,"IN_Kisite"
"156",-26,29.79025,"IN_Kisite"
"157",-25,29.671625,"IN_Kisite"
"158",-24,29.465375,"IN_Kisite"
"159",-23,29.3185,"IN_Kisite"
"160",-22,29.224625,"IN_Kisite"
"161",-21,29.312375,"IN_Kisite"
"162",-20,29.402875,"IN_Kisite"
"163",-19,29.481125,"IN_Kisite"
"164",-18,29.700375,"IN_Kisite"
"165",-17,29.527,"IN_Kisite"
"166",-16,29.7655,"IN_Kisite"
"167",-15,29.724625,"IN_Kisite"
"168",-14,29.840375,"IN_Kisite"
"169",-13,29.787,"IN_Kisite"
"170",-12,29.809125,"IN_Kisite"
"171",-11,29.96575,"IN_Kisite"
"172",-10,29.906375,"IN_Kisite"
"173",-9,30.02575,"IN_Kisite"
"174",-8,29.777875,"IN_Kisite"
"175",-7,29.6935,"IN_Kisite"
"176",-6,29.533875,"IN_Kisite"
"177",-5,29.465,"IN_Kisite"
"178",-4,29.417875,"IN_Kisite"
"179",-3,29.06225,"IN_Kisite"
"180",-2,29.041,"IN_Kisite"
"181",-1,29.165125,"IN_Kisite"
"182",0,29.146625,"IN_Kisite"
"183",-90,27.82999938,"Sat_Mombasa_lagoon"
"184",-89,27.79999938,"Sat_Mombasa_lagoon"
"185",-88,28.10999937,"Sat_Mombasa_lagoon"
"186",-87,27.85999938,"Sat_Mombasa_lagoon"
"187",-86,27.84999938,"Sat_Mombasa_lagoon"
"188",-85,27.63999938,"Sat_Mombasa_lagoon"
"189",-84,27.82999938,"Sat_Mombasa_lagoon"
"190",-83,27.89999938,"Sat_Mombasa_lagoon"
"191",-82,28.13999937,"Sat_Mombasa_lagoon"
"192",-81,28.26999937,"Sat_Mombasa_lagoon"
"193",-80,27.92999938,"Sat_Mombasa_lagoon"
"194",-79,27.85999938,"Sat_Mombasa_lagoon"
"195",-78,27.37999939,"Sat_Mombasa_lagoon"
"196",-77,27.39999939,"Sat_Mombasa_lagoon"
"197",-76,27.26999939,"Sat_Mombasa_lagoon"
"198",-75,27.09999939,"Sat_Mombasa_lagoon"
"199",-74,27.34999939,"Sat_Mombasa_lagoon"
"200",-73,27.40999939,"Sat_Mombasa_lagoon"
"201",-72,27.20999939,"Sat_Mombasa_lagoon"
"202",-71,27.21999939,"Sat_Mombasa_lagoon"
"203",-70,27.10999939,"Sat_Mombasa_lagoon"
"204",-69,27.14999939,"Sat_Mombasa_lagoon"
"205",-68,27.46999939,"Sat_Mombasa_lagoon"
"206",-67,27.24999939,"Sat_Mombasa_lagoon"
"207",-66,26.9499994,"Sat_Mombasa_lagoon"
"208",-65,27.0499994,"Sat_Mombasa_lagoon"
"209",-64,26.9899994,"Sat_Mombasa_lagoon"
"210",-63,26.8899994,"Sat_Mombasa_lagoon"
"211",-62,27.28999939,"Sat_Mombasa_lagoon"
"212",-61,26.9699994,"Sat_Mombasa_lagoon"
"213",-60,26.9899994,"Sat_Mombasa_lagoon"
"214",-59,26.7699994,"Sat_Mombasa_lagoon"
"215",-58,26.8399994,"Sat_Mombasa_lagoon"
"216",-57,26.7799994,"Sat_Mombasa_lagoon"
"217",-56,26.8499994,"Sat_Mombasa_lagoon"
"218",-55,26.31999941,"Sat_Mombasa_lagoon"
"219",-54,26.54999941,"Sat_Mombasa_lagoon"
"220",-53,26.8299994,"Sat_Mombasa_lagoon"
"221",-52,27.24999939,"Sat_Mombasa_lagoon"
"222",-51,27.25999939,"Sat_Mombasa_lagoon"
"223",-50,27.21999939,"Sat_Mombasa_lagoon"
"224",-49,27.10999939,"Sat_Mombasa_lagoon"
"225",-48,27.28999939,"Sat_Mombasa_lagoon"
"226",-47,27.23999939,"Sat_Mombasa_lagoon"
"227",-46,26.9899994,"Sat_Mombasa_lagoon"
"228",-45,26.7899994,"Sat_Mombasa_lagoon"
"229",-44,26.8799994,"Sat_Mombasa_lagoon"
"230",-43,27.15999939,"Sat_Mombasa_lagoon"
"231",-42,27.54999938,"Sat_Mombasa_lagoon"
"232",-41,27.83999938,"Sat_Mombasa_lagoon"
"233",-40,27.71999938,"Sat_Mombasa_lagoon"
"234",-39,27.50999939,"Sat_Mombasa_lagoon"
"235",-38,27.80999938,"Sat_Mombasa_lagoon"
"236",-37,28.17999937,"Sat_Mombasa_lagoon"
"237",-36,28.16999937,"Sat_Mombasa_lagoon"
"238",-35,28.26999937,"Sat_Mombasa_lagoon"
"239",-34,28.20999937,"Sat_Mombasa_lagoon"
