"location","site","bleach_intensity","X","Y","management","habitat","average.dhw.90days","max.dhw.90days","dip.Statistic.sst","bimodality.coefficient","bimodality.ratio","n.h.spell.events_90Days","avg.high.spell.duration.90days","max.high.spell.duration.90days","avg.high.spell.rise.90days","avg.spell.peak","sd.spell.peak","avg.low.spell.duration.90dys","dhd_mmmplus1","CA1"
"Kolombangara","KOL01",4.215456674,156.94531,-8.0274,"open","slope",0.046043955,1.039999977,0.026373626,0.38372747,0,2,7,8,0.234285711,30.13416599,0.442197238,5,0,-0.123877025
"Kolombangara","KOL02",2.91858679,156.93701,-7.97268,"restricted","slope",0.019450549,0.44999999,0.032182103,0.384036919,0,3,3.666666667,9,0.199999997,30.21639932,0.423663379,5,0,-0.875486748
"Kolombangara","KOL03",9.126984127,156.94547,-7.93487,"open","slope",0.004945055,0.149999997,0.037087912,0.393542466,0,3,3.666666667,9,0.286666662,30.26639932,0.437653583,5,0,-0.957057995
"Kolombangara","KOL04",4.232804233,156.9644,-7.89869,"open","slope",0,0,0.041328236,0.392799902,0,3,4.333333333,9,0.264999995,30.18199932,0.468623862,2.5,0,-0.45486292
"Kolombangara","KOL05",5.873015873,156.99083,-7.87425,"open","slope",0,0,0.041328236,0.39880075,0,3,4.666666667,10,0.264999995,30.18199932,0.468623862,2.5,0,-0.716984938
"Kolombangara","KOL07",8.823529412,157.05191,-7.84697,"open","slope",0,0,0.031135532,0.406245086,0,2,6,10,0.257999992,30.16739063,0.435568765,2,0,-0.057521614
"Kolombangara","KOL08",12.11573237,157.07823,-7.8414,"open","slope",0,0,0.031135532,0.40804085,0,2,6.5,11,0.257999992,30.16863569,0.445776951,2,0,-0.646930073
"Kolombangara","KOL09",25.66137566,157.09666,-7.84359,"no-take","slope",0,0,0.031135532,0.40804085,0,2,6.5,11,0.257999992,30.16863569,0.445776951,2,0,-0.059079891
"Kolombangara","KOL10",11.46313364,157.12758,-7.86354,"open","slope",0,0,0.029848529,0.422603566,0,3,4.666666667,12,0.238333328,30.16499933,0.446746683,2,0,-0.828734729
"Kolombangara","KOL11",16.47230321,157.15083,-7.88505,"open","slope",0,0,0.027661992,0.430889843,0,3,5,12,0.295999994,30.15555488,0.445717504,2,0,-0.114157241
"Kolombangara","KOL12",10.36414566,157.17221,-7.91001,"open","slope",0,0,0.026098901,0.442837837,0,4,3.75,12,0.262857139,30.13038394,0.432272874,2.75,0,-0.680915754
"Kolombangara","KOL13",11.78969729,157.18622,-7.94788,"open","slope",0,0,0.026098901,0.440662727,0,4,3,9,0.262857139,30.12999933,0.432305438,2.75,0,-1.346627814
"Kolombangara","KOL15",5.197704082,157.18784,-8.01851,"open","lagoon",0.006585557,0.063571427,0.037389441,0.458580676,0,2,8,9,0.161999997,30.13818115,0.38685097,3.333333333,0,-1.113293708
"Kolombangara","KOL16",2.370417193,157.19556,-8.04992,"open","lagoon",0.008369963,0.083333331,0.037389441,0.458580676,0,2,8,9,0.161999997,30.13818115,0.38685097,3.333333333,0,-1.30014891
"Kolombangara","KOL18",4.714285714,157.17444,-8.11311,"open","lagoon",0.014835165,0.149999997,0.033195972,0.461012513,0,3,5.666666667,9,0.184999997,30.08879933,0.458405923,3.333333333,0,-0.433061476
