unique.id,country,location,site,observer,SamplingDate,year,month,day,lat,long,X,Y,depth_m,temp_C,management,habitat,no_quadrats,perc_hardcoral,perc_softcoral,perc_macroalgae,no_genera,no_colonies,no_bleached.cols,perc_bleached,simp.diversity,site.suscept2016,reefbase,bleach_intensity,DHWCummSUM1,average.dhw.90days,max.dhw.90days,dip.Statistic.sst,bimodality.coefficient,bimodality.ratio,n.h.spell.events_90Days,avg.high.spell.duration.90days,max.high.spell.duration.90days,avg.high.spell.rise.90days,avg.spell.peak,sd.spell.peak,avg.low.spell.duration.90dys,max.low.spell.duration.90dys,dhd_mmmplus1,CA1,Acropora.bi,Porites.massive.bi,Montipora.bi,Porites.branching.bi,Pocillopora.bi,Favites.bi,Galaxea.bi,Fungia.bi,Goniastrea.bi,Favia.bi,Pavona.bi,Echinopora.bi,Synarea.bi,Platygyra.bi,Seriatopora.bi,Diploastrea.bi,Millepora.bi,Isopora.bi,Heliopora.bi,Cyphastrea.bi,Hydnophora.bi,Montastrea.bi,Stylophora.bi,Astreopora.bi,Lobophyllia.bi,Leptastrea.bi,Coscinaraea.bi,Goniopora.bi,Leptoseris.bi,Pachyseris.bi,region,grp6.check,year2,DHWDate,date.difference
1,Solomon Islands,Kolombangara,KOL01,Emily,3/14/16,2016,3,14,-8.0274,156.94531,156.94531,-8.0274,12,28,open,slope,20,50.65,12.5,5.75,29,122,23,18.85,0.94,26.74189469,1,4.215456674,4.189999907,0.046043955,1.039999977,0.026373626,0.38372747,0,2,7,8,0.234285711,30.13416599,0.442197238,5,8,0,-0.123877025,2.857142857,1.19047619,4.761904762,0,10.71428571,1.587301587,7.142857143,9.523809524,0,7.142857143,0,0,0,0,15.87301587,3.571428571,0,0,0,0,0,0,14.28571429,0,0,0,0,0,0,0,Melanesia,5,1.039999977,3/14/16,0
2,Solomon Islands,Kolombangara,KOL02,Emily,3/15/16,2016,3,15,-7.97268,156.93701,156.93701,-7.97268,11,27,restricted,slope,21,4.047619048,3.095238095,34.28571429,17,93,15,16.13,0.77,24.41474922,1,2.91858679,1.769999961,0.019450549,0.44999999,0.032182103,0.384036919,0,3,3.666666667,9,0.199999997,30.21639932,0.423663379,5,8,0,-0.875486748,0,1.020408163,2.164502165,14.28571429,14.28571429,9.523809524,0,0,0,0,0,0,0,0,0,2.380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Melanesia,5,0.44999999,3/15/16,0
3,Solomon Islands,Kolombangara,KOL03,Emily,3/15/16,2016,3,15,-7.93487,156.94547,156.94547,-7.93487,11.7,27,open,slope,18,15.27777778,2.5,11.66666667,25,180,60,33.33,0.84,24.80073598,1,9.126984127,0.449999991,0.004945055,0.149999997,0.037087912,0.393542466,0,3,3.666666667,9,0.286666662,30.26639932,0.437653583,5,7,0,-0.957057995,1.785714286,2.341920375,9.523809524,0,48.57142857,0,14.28571429,10.71428571,5.952380952,35.71428571,4.761904762,0,0,0,0,0,0,0,0,0,0,35.71428571,0,42.85714286,0,7.142857143,8.571428571,0,7.142857143,0,Melanesia,5,0.149999997,3/15/16,0
4,Solomon Islands,Kolombangara,KOL04,Emily,3/15/16,2016,3,15,-7.89869,156.9644,156.9644,-7.89869,10,27,open,slope,13,38.07692308,0.384615385,13.46153846,27,135,23,17.04,0.9,26.27333864,1,4.232804233,0,0,0,0.041328236,0.392799902,0,3,4.333333333,9,0.264999995,30.18199932,0.468623862,2.5,6,0,-0.45486292,12.24489796,0,2.285714286,0,28.57142857,0,0,12.24489796,0,0,0,0,0,0,28.57142857,0,0,0,0,0,0,0,0,0,0,0,8.571428571,0,0,0,Melanesia,5,0,NA,NA
5,Solomon Islands,Kolombangara,KOL05,Emily,3/16/16,2016,3,16,-7.87425,156.99083,156.99083,-7.87425,11.3,27,open,slope,20,31.25,2.25,8.25,25,180,43,23.89,0.82,24.93726556,1,5.873015873,0,0,0,0.041328236,0.39880075,0,3,4.666666667,10,0.264999995,30.18199932,0.468623862,2.5,6,0,-0.716984938,14.28571429,0.892857143,2.040816327,0,35.71428571,0,21.42857143,11.42857143,19.04761905,4.761904762,4.761904762,21.42857143,0,7.142857143,0,0,14.28571429,0,0,17.14285714,0,14.28571429,0,0,0,0,0,0,0,0,Melanesia,5,0,NA,NA
6,Solomon Islands,Kolombangara,KOL07,Emily,3/16/16,2016,3,16,-7.84697,157.05191,157.05191,-7.84697,11.7,27,open,slope,19,58.63157895,2.631578947,5.263157895,22,170,46,27.06,0.89,29.36463813,2,8.823529412,0,0,0,0.031135532,0.406245086,0,2,6,10,0.257999992,30.16739063,0.435568765,2,6,0,-0.057521614,19.04761905,2.380952381,4.081632653,0,4.081632653,0,0,24.67532468,4.081632653,0,0,0,0,0,62.85714286,4.761904762,71.42857143,1.503759398,0,0,0,0,8.928571429,0,9.523809524,0,0,0,0,0,Melanesia,5,0,NA,NA
7,Solomon Islands,Kolombangara,KOL08,Emily,3/17/16,2016,3,17,-7.8414,157.07823,157.07823,-7.8414,11.7,27,open,slope,20,35.25,1.25,19.75,31,237,92,38.82,0.83,25.71234224,2,12.11573237,0,0,0,0.031135532,0.40804085,0,2,6.5,11,0.257999992,30.16863569,0.445776951,2,6,0,-0.646930073,45.23809524,6.813186813,5.194805195,0,0,6.12244898,0,39.28571429,16.48351648,26.53061224,4.761904762,11.42857143,0,0,85.71428571,8.928571429,42.85714286,0,0,85.71428571,0,0,0,0,14.28571429,0,0,0,6.12244898,33.33333333,Melanesia,5,0,NA,NA
8,Solomon Islands,Kolombangara,KOL09,Emily,3/17/16,2016,3,17,-7.84359,157.09666,157.09666,-7.84359,10,27,no-take,slope,20,29.5,1.5,15.5,25,162,85,52.47,0.89,27.96638034,2,25.66137566,0,0,0,0.031135532,0.40804085,0,2,6.5,11,0.257999992,30.16863569,0.445776951,2,6,0,-0.059079891,37.24489796,15.87301587,11.60714286,0,35.71428571,7.142857143,0,47.14285714,17.46031746,85.71428571,0,37.14285714,42.85714286,47.61904762,35.71428571,2.857142857,28.57142857,23.80952381,0,85.71428571,50,0,0,85.71428571,0,0,0,0,0,17.14285714,Melanesia,5,0,NA,NA
9,Solomon Islands,Kolombangara,KOL10,Emily,3/18/16,2016,3,18,-7.86354,157.12758,157.12758,-7.86354,10,26,open,slope,21,32.14285714,1.428571429,7.142857143,23,248,97,39.11,0.76,25.10376868,2,11.46313364,0,0,0,0.029848529,0.422603566,0,3,4.666666667,12,0.238333328,30.16499933,0.446746683,2,6,0,-0.828734729,24.28571429,6.887755102,8.88030888,0,38.0952381,22.44897959,0,62.85714286,21.42857143,71.42857143,4.285714286,10.20408163,0,0,0,0,10.71428571,0,0,28.57142857,0,0,0,28.57142857,0,0,0,0,0,0,Melanesia,5,0,NA,NA
10,Solomon Islands,Kolombangara,KOL11,Emily,3/18/16,2016,3,18,-7.88505,157.15083,157.15083,-7.88505,10,26,open,slope,21,30.71428571,1.666666667,19.52380952,27,196,110,56.12,0.86,26.14909778,2,16.47230321,0,0,0,0.027661992,0.430889843,0,3,5,12,0.295999994,30.15555488,0.445717504,2,6,0,-0.114157241,26.78571429,17.58241758,14.52784504,0,28.57142857,42.85714286,14.28571429,26.37362637,30.35714286,35.71428571,0,0,0,28.57142857,46.03174603,0,0,0,0,23.80952381,0,0,28.57142857,0,0,35.71428571,0,0,0,0,Melanesia,5,0,NA,NA
