var,label
average.dhw.90days,Average DHW
average.dhw.90days:avg.high.spell.duration.90days,Average DHW x Mean high spell duration
average.dhw.90days:avg.high.spell.duration.90days:max.low.spell.duration.90dys,Average DHW x Mean high spell duration x Maximum low spell duration
average.dhw.90days:avg.high.spell.rise.90days,Average DHW x High spell rate of rise
average.dhw.90days:avg.high.spell.rise.90days:managementopen,Average DHW x High spell rate of rise x Management (open)
average.dhw.90days:avg.high.spell.rise.90days:managementrestricted,Average DHW x High spell rate of rise x Management (restricted) 
average.dhw.90days:avg.spell.peak,Average DHW x Average high spell peak
average.dhw.90days:avg.spell.peak:bimodality.coefficient,Average DHW x Average high spell peak x Bimodality
average.dhw.90days:bimodality.coefficient,Average DHW x Bimodality
average.dhw.90days:bimodality.coefficient:CA1,Average DHW x Bimodality x Coral community
average.dhw.90days:CA1,Average DHW x Coral community
average.dhw.90days:CA1:dhd_mmmplus1,Average DHW x Coral community x Early DHD >1
average.dhw.90days:dhd_mmmplus1,Average DHW x Early DHD >1
average.dhw.90days:dhd_mmmplus1:site.suscept2016,Average DHW x Early DHD >1 x Site susceptibility 2016
average.dhw.90days:managementopen,Average DHW x Management (open)
average.dhw.90days:managementrestricted,Average DHW x Management (restricted) 
average.dhw.90days:max.low.spell.duration.90dys,Average DHW x Maximum low spell duration
average.dhw.90days:sd.spell.peak,Average DHW x Standard deviation high spell peak
average.dhw.90days:sd.spell.peak:Y,Average DHW x Standard deviation high spell peak x Latitude
average.dhw.90days:site.suscept2016,Average DHW x Site susceptibility 2016
average.dhw.90days:X,Average DHW x Longitude
average.dhw.90days:X:Y,Average DHW x Longitude x Latitude
average.dhw.90days:Y,Average DHW x Latitude
avg.high.spell.duration.90days,Mean high spell duration
avg.high.spell.duration.90days:avg.high.spell.rise.90days,Mean high spell duration x High spell rate of rise
avg.high.spell.duration.90days:avg.high.spell.rise.90days:avg.low.spell.duration.90dys,Mean high spell duration x High spell rate of rise x Mean low spell duration
avg.high.spell.duration.90days:avg.high.spell.rise.90days:dip.Statistic.sst,Mean high spell duration x High spell rate of rise x SST dip statistic
avg.high.spell.duration.90days:avg.low.spell.duration.90dys,Mean high spell duration x Mean low spell duration
avg.high.spell.duration.90days:avg.low.spell.duration.90dys:avg.spell.peak,Mean high spell duration x Mean low spell duration x Average high spell peak
avg.high.spell.duration.90days:avg.low.spell.duration.90dys:CA1,Mean high spell duration x Mean low spell duration x Coral community
avg.high.spell.duration.90days:avg.low.spell.duration.90dys:site.suscept2016,Mean high spell duration x Mean low spell duration x Site susceptibility 2016
avg.high.spell.duration.90days:avg.low.spell.duration.90dys:X,Mean high spell duration x Mean low spell duration x Longitude
