observer in file,Countries,Sites,NCC role
Julien Leblond,Madagascar,32,coauthor
Tim,"Kenya,Tanzania",25,coauthor
Azhar dan Muhidin,Indonesia,24,acknowledgements
Shreya Yadav,India,18,acknowledgements
Nyawira,"Kenya,Tanzania",15,coauthor
Shaun Wilson,Australia,15,coauthor
Emily,Solomon Islands,14,coauthor
Sangeeta Mangubhai,Fiji,11,coauthor
Celine/Emma/Natalie,Mauritius,8,acknowledgements
Efin Muttaqin,Indonesia,8,acknowledgements
Vardhan Patankar,India,8,coauthor
Rohan Arthur,India,7,coauthor
Ussi,Tanzania,7,coauthor
Austin Humphries,Indonesia,6,coauthor
Andy Halford,Australia,5,acknowledgements
WCS Indonesia,Indonesia,5,acknowledgements
Andrew Baird,Japan,4,acknowledgements
Mireille Guillaume,Reunion,4,coauthor
C. Muhando,Tanzania,3,acknowledgements
Gabriel Grimsditch,Maldives,3,coauthor
Yashika,Solomon Islands,2,coauthor
Julius Pagu,Tanzania,1,coauthor
Roberto&Frederic,Madagascar,1,acknowledgements
,,,
additional coauthors,,,
"S. D'agata, observer w. J Leblond",,,coauthor
S. Jupiter,,,coauthor
J. Maina,,,coauthor
"G. Shedrawi, observer w. Shaun Wilson",,,coauthor
"S. Keith, observer with A. Baird",,,coauthor
"J. Ndagala, observer Tanzania",,,coauthor
